Sample Name,Volume (cm^3),Mass (g),Field (A/m),Frequency (Hz),Azimuth (deg),Dip (deg),K11 (Spec),K22 (Spec),K33 (Spec),K12 (Spec),K23 (Spec),K13 (Spec),Holder Value,Bulk Susceptibility,Standard deviation,K1,K2,K3,K1 DEC (Spec),K1 INC (Spec),K2 DEC (Spec),K2 INC (Spec),K3 DEC (Spec),K3 INC (Spec),K1 DEC (Geo),K1 INC (Geo),K2 DEC (Geo),K2 INC (Geo),K3 DEC (Geo),K3 INC (Geo),L,F,P,P',P1,P2,P3,P4,Demag Factor,Holder,Date,Comments,
CUBE12650101, 7.00,, 200, 976,, 90, 0.317826, 0.342938, 0.339236,-0.001486, 0.001434,-0.001430,-4.272E-06, 2.938E-03, 1.238E-04, 1.030696, 1.016341, 0.952963, 94.4, 19.6, 263.2, 70.1, 3.2, 3.6, 70.4, 4.2, 340.2, 2.3, 221.4, 85.2, 1.0141, 1.0665, 1.0816, 1.0872, 12,0, 12,0,YES,3D,8/29/2023 8:26:39 PM,,
CUBE12650121, 7.00,, 200, 976,, 90, 0.317840, 0.347310, 0.334850,-0.004726, 0.000109,-0.007569,-4.272E-06, 3.910E-03, 1.102E-04, 1.044572, 1.012301, 0.943127, 100.4, 6.3, 207.0, 68.9, 8.1, 20.1, 83.6, 10.3, 350.0, 18.7, 201.1, 68.4, 1.0319, 1.0733, 1.1076, 1.1103, 12,0, 12,0,YES,3D,8/29/2023 8:28:16 PM,,
CUBE12650141, 7.00,, 200, 976,, 90, 0.312281, 0.345169, 0.342550,-0.001057,-0.000769,-0.004011,-4.272E-06, 3.574E-03, 1.248E-04, 1.036135, 1.028707, 0.935157, 269.9, 15.3, 117.2, 72.9, 2.0, 7.5, 285.3, 0.1, 15.3, 7.7, 194.8, 82.3, 1.0072, 1.1000, 1.1080, 1.1213, 12,0, 12,0,YES,3D,8/29/2023 8:30:06 PM,,
CUBE12650161, 7.00,, 200, 976,, 90, 0.319658, 0.341396, 0.338946,-0.002272, 0.000376,-0.005351,-4.272E-06, 3.208E-03, 9.335E-05, 1.026239, 1.019513, 0.954248, 102.4, 25.8, 249.2, 60.0, 5.3, 14.2, 63.7, 11.1, 331.7, 10.2, 200.1, 74.8, 1.0066, 1.0684, 1.0754, 1.0838, 12,0, 12,0,YES,3D,8/29/2023 8:34:11 PM,,
CUBE12650181, 7.00,, 200, 976,, 90, 0.316688, 0.343363, 0.339949,-0.002466, 0.001686,-0.004758,-4.272E-06, 3.687E-03, 1.122E-04, 1.034108, 1.019111, 0.946781, 100.1, 27.7, 255.3, 59.9, 4.4, 10.7, 61.9, 9.0, 330.8, 7.3, 202.1, 78.4, 1.0147, 1.0764, 1.0922, 1.0992, 12,0, 12,0,YES,3D,8/29/2023 8:35:47 PM,,
CUBE12650201, 7.00,, 200, 976,, 90, 0.304356, 0.351302, 0.344343, 0.001769, 0.001971,-0.011931,-4.272E-06, 4.134E-03, 1.896E-04, 1.055643, 1.041455, 0.902903, 92.7, 18.6, 230.0, 65.5, 357.4, 15.5, 71.4, 2.6, 340.7, 15.5, 170.6, 74.3, 1.0136, 1.1535, 1.1692, 1.1891, 12,0, 12,0,YES,3D,8/29/2023 8:37:25 PM,,
CUBE12650221, 7.00,, 200, 976,, 90, 0.312282, 0.347068, 0.340650, 0.000621, 0.002008,-0.013569,-4.272E-06, 3.842E-03, 1.609E-04, 1.044936, 1.034685, 0.920379, 103.7, 34.0, 241.7, 47.7, 358.0, 21.9, 55.2, 11.4, 321.3, 18.6, 175.0, 68.0, 1.0099, 1.1242, 1.1353, 1.1517, 12,0, 12,0,YES,3D,8/29/2023 8:39:31 PM,,
CUBE12649551, 7.00,, 200, 976,, 90, 0.323589, 0.341519, 0.334893, 0.000992,-0.001170,-0.006968,-4.272E-06, 2.254E-03, 1.284E-04, 1.026278, 1.012938, 0.960784, 259.8, 18.4, 137.9, 57.9, 358.8, 25.4, 288.6, 9.7, 22.9, 23.2, 177.5, 64.6, 1.0132, 1.0543, 1.0682, 1.0723, 12,0, 12,0,YES,3D,8/29/2023 8:41:05 PM,,
CUBE12651031, 7.00,, 200, 976,, 90, 0.311404, 0.345897, 0.342699,-0.001061, 0.001537,-0.002912,-4.272E-06, 4.360E-03, 1.356E-04, 1.039925, 1.026741, 0.933333, 93.8, 23.7, 259.9, 65.7, 1.5, 5.2, 66.3, 3.5, 336.1, 4.1, 196.3, 84.6, 1.0128, 1.1001, 1.1142, 1.1255, 12,0, 12,0,YES,3D,8/29/2023 8:43:43 PM,,
CUBE12651051, 7.00,, 200, 976,, 90, 0.302296, 0.349779, 0.347926,-0.004226, 0.000289,-0.002400,-4.272E-06, 4.370E-03, 1.749E-04, 1.050792, 1.043804, 0.905404, 95.7, 12.7, 262.2, 77.0, 5.0, 2.9, 77.3, 5.5, 347.1, 1.8, 239.6, 84.2, 1.0067, 1.1529, 1.1606, 1.1832, 12,0, 12,0,YES,3D,8/29/2023 8:45:30 PM,,
