######################################################################
#
# LoggerIdentifier    : 1858035C
# Comment             : 
# PC Time             : 15 September 2021 , 12:40:58
# Logger Time         : 15 September 2021 , 12:40:58
# StartBatteryVoltage :      2970 mV
# EndBatteryVoltage   :      2902 mV
# TotalSampleCount    :    456793
# ResistanceOffset    :     11905.14456
# ResistanceScale     :     90939.70156
# TemperatureOffset   :         0.0009057505
# TemperatureLinear   :         0.0002256978
# TemperatureCubic    :         0.0000001097
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2021 09 15 10 53 39    24896    35501.116       21.263
2021 09 15 10 53 40    24907    35515.872       21.253
2021 09 15 10 53 41    24917    35529.289       21.245
2021 09 15 10 53 42    24925    35540.025       21.238
2021 09 15 10 53 43    24931    35548.078       21.233
2021 09 15 10 53 44    24938    35557.475       21.227
2021 09 15 10 53 45    24944    35565.530       21.222
2021 09 15 10 53 46    24950    35573.586       21.216
2021 09 15 10 53 47    24958    35584.329       21.210
2021 09 15 10 53 48    24968    35597.761       21.201
2021 09 15 10 53 49    24977    35609.852       21.193
2021 09 15 10 53 50    24987    35623.289       21.185
2021 09 15 10 53 51    24997    35636.729       21.176
2021 09 15 10 53 52    25006    35648.828       21.168
2021 09 15 10 53 53    25015    35660.929       21.161
2021 09 15 10 53 54    25025    35674.377       21.152
2021 09 15 10 53 55    25034    35686.482       21.144
2021 09 15 10 53 56    25043    35698.590       21.137
2021 09 15 10 53 57    25051    35709.355       21.130
2021 09 15 10 53 58    25058    35718.775       21.124
2021 09 15 10 53 59    25064    35726.851       21.119
2021 09 15 10 54 00    25074    35740.313       21.110
2021 09 15 10 54 01    25083    35752.431       21.103
2021 09 15 10 54 02    25093    35765.899       21.094
2021 09 15 10 54 03    25102    35778.022       21.086
2021 09 15 10 54 04    25110    35788.800       21.080
2021 09 15 10 54 05    25118    35799.580       21.073
2021 09 15 10 54 06    25127    35811.710       21.065
2021 09 15 10 54 07    25137    35825.190       21.057
2021 09 15 10 54 08    25146    35837.324       21.049
2021 09 15 10 54 09    25154    35848.112       21.042
2021 09 15 10 54 10    25161    35857.553       21.036
2021 09 15 10 54 11    25167    35865.647       21.031
2021 09 15 10 54 12    25173    35873.742       21.026
2021 09 15 10 54 13    25178    35880.488       21.022
2021 09 15 10 54 14    25182    35885.885       21.018
2021 09 15 10 54 15    25187    35892.633       21.014
2021 09 15 10 54 16    25193    35900.731       21.009
2021 09 15 10 54 17    25202    35912.880       21.001
2021 09 15 10 54 18    25212    35926.381       20.993
2021 09 15 10 54 19    25221    35938.535       20.985
2021 09 15 10 54 20    25231    35952.042       20.976
2021 09 15 10 54 21    25239    35962.850       20.970
2021 09 15 10 54 22    25245    35970.957       20.965
2021 09 15 10 54 23    25251    35979.065       20.959
2021 09 15 10 54 24    25257    35987.174       20.954
2021 09 15 10 54 25    25262    35993.933       20.950
2021 09 15 10 54 26    25267    36000.692       20.946
2021 09 15 10 54 27    25274    36010.155       20.940
2021 09 15 10 54 28    25282    36020.973       20.933
2021 09 15 10 54 29    25291    36033.145       20.925
2021 09 15 10 54 30    25301    36046.672       20.917
2021 09 15 10 54 31    25308    36056.143       20.911
2021 09 15 10 54 32    25316    36066.968       20.904
2021 09 15 10 54 33    25323    36076.442       20.898
2021 09 15 10 54 34    25332    36088.625       20.891
2021 09 15 10 54 35    25340    36099.456       20.884
2021 09 15 10 54 36    25347    36108.935       20.878
2021 09 15 10 54 37    25354    36118.415       20.872
2021 09 15 10 54 38    25362    36129.251       20.865
2021 09 15 10 54 39    25372    36142.798       20.857
2021 09 15 10 54 40    25383    36157.704       20.847
2021 09 15 10 54 41    25392    36169.902       20.840
2021 09 15 10 54 42    25398    36178.036       20.835
2021 09 15 10 54 43    25403    36184.815       20.830
2021 09 15 10 54 44    25408    36191.594       20.826
2021 09 15 10 54 45    25415    36201.086       20.820
2021 09 15 10 54 46    25423    36211.936       20.813
2021 09 15 10 54 47    25432    36224.145       20.806
2021 09 15 10 54 48    25441    36236.356       20.798
2021 09 15 10 54 49    25450    36248.569       20.790
2021 09 15 10 54 50    25458    36259.428       20.784
2021 09 15 10 54 51    25465    36268.930       20.778
2021 09 15 10 54 52    25470    36275.719       20.773
2021 09 15 10 54 53    25474    36281.150       20.770
2021 09 15 10 54 54    25479    36287.940       20.766
2021 09 15 10 54 55    25485    36296.088       20.761
2021 09 15 10 54 56    25494    36308.313       20.753
2021 09 15 10 54 57    25503    36320.540       20.746
2021 09 15 10 54 58    25514    36335.488       20.736
2021 09 15 10 54 59    25522    36346.361       20.729
2021 09 15 10 55 00    25531    36358.595       20.722
2021 09 15 10 55 01    25540    36370.832       20.714
2021 09 15 10 55 02    25551    36385.791       20.705
2021 09 15 10 55 03    25559    36396.673       20.698
2021 09 15 10 55 04    25567    36407.557       20.691
2021 09 15 10 55 05    25574    36417.081       20.685
2021 09 15 10 55 06    25581    36426.608       20.680
2021 09 15 10 55 07    25588    36436.135       20.674
